iter	Passed	Remaining
0	152	305208
1	155	155336
2	159	105952
3	162	81228
4	166	66375
5	169	56271
6	172	49006
7	174	43559
8	177	39272
9	180	35840
10	182	32995
11	184	30585
12	187	28595
13	189	26837
14	191	25320
15	193	24009
16	195	22846
17	198	21810
18	200	20906
19	202	20053
20	204	19304
21	207	18611
22	209	17980
23	211	17389
24	213	16862
25	215	16368
26	218	15936
27	220	15516
28	221	15084
29	224	14726
30	226	14381
31	228	14063
32	230	13759
33	233	13475
34	235	13202
35	237	12946
36	239	12700
37	241	12472
38	243	12250
39	245	12045
40	248	11858
41	250	11676
42	252	11497
43	254	11325
44	257	11165
45	259	11009
46	261	10858
47	263	10716
48	265	10575
49	267	10450
50	270	10323
51	272	10202
52	274	10086
53	276	9974
54	278	9865
55	281	9762
56	283	9654
57	285	9549
58	287	9455
59	289	9363
60	291	9280
61	294	9200
62	296	9120
63	298	9038
64	300	8956
65	302	8877
66	305	8808
67	307	8736
68	309	8669
69	312	8602
70	314	8545
71	316	8477
72	318	8398
73	320	8337
74	322	8281
75	325	8230
76	327	8173
77	329	8117
78	331	8061
79	333	8006
80	335	7958
81	338	7913
82	340	7864
83	343	7826
84	345	7782
85	347	7738
86	349	7695
87	352	7669
88	356	7650
89	359	7637
90	362	7602
91	365	7571
92	367	7537
93	370	7506
94	372	7470
95	375	7440
96	377	7411
97	380	7382
98	382	7350
99	385	7327
100	388	7296
101	390	7269
102	392	7237
103	395	7203
104	397	7172
105	399	7142
106	402	7113
107	404	7082
108	406	7056
109	408	7026
110	411	6995
111	413	6964
112	415	6932
113	417	6906
114	419	6879
115	421	6851
116	424	6823
117	426	6802
118	428	6776
119	430	6752
120	432	6722
121	435	6699
122	437	6674
123	439	6650
124	441	6625
125	443	6601
126	445	6576
127	447	6551
128	450	6528
129	452	6505
130	454	6486
131	456	6466
132	459	6444
133	461	6423
134	463	6401
135	465	6381
136	467	6361
137	469	6340
138	472	6321
139	474	6298
140	476	6278
141	478	6258
142	480	6239
143	482	6221
144	484	6203
145	487	6187
146	489	6167
147	490	6140
148	492	6121
149	494	6101
150	496	6084
151	499	6067
152	501	6049
153	503	6033
154	505	6017
155	507	6001
156	509	5984
157	511	5964
158	514	5953
159	516	5935
160	518	5919
161	520	5901
162	522	5886
163	524	5875
164	527	5865
165	529	5854
166	533	5860
167	536	5853
168	539	5842
169	541	5830
170	544	5819
171	546	5806
172	548	5793
173	550	5778
174	552	5764
175	554	5748
176	556	5732
177	558	5716
178	560	5702
179	562	5689
180	564	5676
181	566	5663
182	568	5648
183	570	5634
184	572	5620
185	574	5606
186	576	5591
187	578	5575
188	580	5560
189	582	5548
190	584	5537
191	586	5523
192	588	5509
193	590	5495
194	592	5480
195	594	5468
196	596	5456
197	598	5445
198	600	5431
199	602	5419
200	604	5407
